"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","737","Проверка вопроса FAQ #1","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","785","Проверка вопроса FAQ #6","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","1200","Клик на логотип Яндекса переводит на Дзен","tests","2026-09-09","passed","2026-09-09","TestLogoRedirects","test_redirects","",""
"","1874","Заказ через точку входа: header","tests","2026-09-09","passed","2026-09-09","TestOrderScooter","test_order","",""
"","1879","Заказ через точку входа: finish","tests","2026-09-09","passed","2026-09-09","TestOrderScooter","test_order","",""
"","677","Проверка вопроса FAQ #4","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","683","Проверка вопроса FAQ #7","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","667","Проверка вопроса FAQ #3","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","716","Проверка вопроса FAQ #5","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","700","Проверка вопроса FAQ #0","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
"","478","Клик на логотип Самоката возвращает на главную","tests","2026-09-09","passed","2026-09-09","TestLogoRedirects","test_redirects","",""
"","732","Проверка вопроса FAQ #2","tests","2026-09-09","passed","2026-09-09","TestFaqAccordion","test_faq","",""
